2026-04-12 17:51:51.970 [info] Mapped {/login, POST} route
2026-04-12 17:51:51.970 [info] Mapped {/logout, POST} route
2026-04-12 17:51:51.970 [info] Mapped {/register, POST} route
2026-04-12 17:51:51.970 [info] Mapped {/registerUser, GET} route
2026-04-12 17:51:51.970 [info] Mapped {/captchaImage, GET} route
2026-04-12 17:51:51.970 [info] Mapped {/getInfo, GET} route
2026-04-12 17:51:51.971 [info] Mapped {/getRouters, GET} route
2026-04-12 17:51:51.971 [info] Mapped {/common/upload, POST} route
2026-04-12 17:51:51.971 [info] Mapped {/common/upload/chunk/uploadId, GET} route
2026-04-12 17:51:51.971 [info] Mapped {/common/upload/chunk, POST} route
2026-04-12 17:51:51.972 [info] Mapped {/common/upload/chunk/merge, POST} route
2026-04-12 17:51:51.972 [info] Mapped {/common/upload/chunk/result, GET} route
2026-04-12 17:51:51.972 [info] Mapped {/common/upload/cos/authorization, GET} route
2026-04-12 17:51:51.972 [info] Mapped {/system/config, POST} route
2026-04-12 17:51:51.972 [info] Mapped {/system/config/list, GET} route
2026-04-12 17:51:51.972 [info] Mapped {/system/config/:id, GET} route
2026-04-12 17:51:51.972 [info] Mapped {/system/config/configKey/:id, GET} route
2026-04-12 17:51:51.972 [info] Mapped {/system/config, PUT} route
2026-04-12 17:51:51.973 [info] Mapped {/system/config/refreshCache, DELETE} route
2026-04-12 17:51:51.973 [info] Mapped {/system/config/:id, DELETE} route
2026-04-12 17:51:51.973 [info] Mapped {/system/config/export, POST} route
2026-04-12 17:51:51.973 [info] Mapped {/system/dept, POST} route
2026-04-12 17:51:51.973 [info] Mapped {/system/dept/list, GET} route
2026-04-12 17:51:51.973 [info] Mapped {/system/dept/:id, GET} route
2026-04-12 17:51:51.973 [info] Mapped {/system/dept/list/exclude/:id, GET} route
2026-04-12 17:51:51.973 [info] Mapped {/system/dept, PUT} route
2026-04-12 17:51:51.973 [info] Mapped {/system/dept/:id, DELETE} route
2026-04-12 17:51:51.974 [info] Mapped {/system/dict/type, POST} route
2026-04-12 17:51:51.974 [info] Mapped {/system/dict/type/refreshCache, DELETE} route
2026-04-12 17:51:51.974 [info] Mapped {/system/dict/type/:id, DELETE} route
2026-04-12 17:51:51.974 [info] Mapped {/system/dict/type, PUT} route
2026-04-12 17:51:51.974 [info] Mapped {/system/dict/type/list, GET} route
2026-04-12 17:51:51.974 [info] Mapped {/system/dict/type/optionselect, GET} route
2026-04-12 17:51:51.974 [info] Mapped {/system/dict/type/:id, GET} route
2026-04-12 17:51:51.974 [info] Mapped {/system/dict/data, POST} route
2026-04-12 17:51:51.974 [info] Mapped {/system/dict/data/:id, DELETE} route
2026-04-12 17:51:51.974 [info] Mapped {/system/dict/data, PUT} route
2026-04-12 17:51:51.974 [info] Mapped {/system/dict/data/list, GET} route
2026-04-12 17:51:51.974 [info] Mapped {/system/dict/data/type/:id, GET} route
2026-04-12 17:51:51.974 [info] Mapped {/system/dict/data/:id, GET} route
